0,台積電,台塑化,鴻海,中華電,台塑,台化,南亞,大立光,國泰金,富邦金,聯發科,統一,台達電,中信金,中鋼,兆豐金,台灣大,統一超,日月光投控,第一金
台積電,23.0,1.0,5.0,3.0,2.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
台塑化,2.0,25.0,1.0,2.0,25.0,19.0,20.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
鴻海,4.0,0.0,27.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
中華電,4.0,2.0,2.0,19.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0
台塑,0.0,5.0,0.0,0.0,29.0,18.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
台化,0.0,4.0,0.0,0.0,20.0,27.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
南亞,4.0,9.0,2.0,1.0,12.0,12.0,23.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
大立光,9.0,0.0,3.0,2.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
國泰金,5.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,19.0,14.0,1.0,2.0,2.0,9.0,1.0,6.0,0.0,0.0,1.0,5.0
富邦金,5.0,1.0,5.0,1.0,2.0,1.0,2.0,3.0,15.0,23.0,1.0,1.0,1.0,10.0,1.0,7.0,0.0,0.0,1.0,4.0
聯發科,8.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
統一,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
台達電,10.0,0.0,9.0,2.0,3.0,1.0,4.0,8.0,4.0,2.0,6.0,4.0,24.0,5.0,3.0,3.0,0.0,3.0,2.0,3.0
中信金,4.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,13.0,11.0,1.0,2.0,2.0,22.0,2.0,9.0,0.0,0.0,1.0,7.0
中鋼,6.0,2.0,6.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,25.0,4.0,1.0,1.0,1.0,1.0
兆豐金,5.0,1.0,5.0,2.0,2.0,3.0,5.0,3.0,12.0,12.0,3.0,3.0,3.0,11.0,2.0,22.0,0.0,0.0,0.0,5.0
台灣大,2.0,0.0,2.0,8.0,4.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0
統一超,9.0,0.0,2.0,2.0,2.0,0.0,2.0,7.0,2.0,2.0,4.0,23.0,5.0,0.0,1.0,0.0,2.0,21.0,2.0,3.0
日月光投控,9.0,3.0,8.0,4.0,3.0,2.0,5.0,5.0,3.0,4.0,6.0,5.0,4.0,5.0,2.0,3.0,0.0,1.0,22.0,2.0
第一金,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,21.0
